counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
CCCN1CCC(Oc2c(C#N)ncc3[nH]c4ncccc4c23)CC1,CCN1CCC(Oc2c(C#N)ncc3[nH]c4ncccc4c23)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.833,2,335.41,3.24,0.792,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCN(CC)CCCOc1c(C#N)ncc2[nH]c3ncccc3c12,CCN1CCC(Oc2c(C#N)ncc3[nH]c4ncccc4c23)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.522,0 1 2 3 4 5 6 7 8,337.43,3.48,0.637,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CCC(C)Oc1c(C#N)ncc2[nH]c3ncccc3c12)C(C)C,CCN1CCC(Oc2c(C#N)ncc3[nH]c4ncccc4c23)CC1,mmp0037_RC_to_RCCC,homologation,moderate,0.5,0 1 2 3 4 5 6 7 8 9,351.45,3.87,0.699,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCS(=O)(=O)Nc1c(F)ccc(C(=O)c2n[nH]c3ncc(-c4ccncc4)cc23)c1F,CCCS(=O)(=O)Nc1c(F)ccc(C(=O)c2n[nH]c3ncc(-c4ccncc4)cc23)c1F,mmp0000_RC_to_RCC,homologation,subtle,0.885,2,471.49,4.07,0.374,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(-c2ccc3c(c2)C(=O)N(Cc2ncccn2)CCO3)cc1,O=C1c2cc(-c3ccc(OC(F)(F)F)cc3)ccc2OCCN1Cc1ncccn1,mmp0009_RO_to_ROC,homologation,subtle,0.769,,361.4,3.19,0.714,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,mmp0059_Rc1ccccc1_to_Rc1ccccc1C,homologation,subtle,0.759,7,395.47,4.71,0.494,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1ccc(CNc2nccc(-c3cccnc3)n2)cc1,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,mmp0000_RC_to_RCC,homologation,subtle,0.568,2,290.37,3.71,0.778,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCc1ccc(C(=O)Nc2ccccc2N)cc1,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,mmp0028_RC_to_RCCC,homologation,moderate,0.434,2 3,254.33,3.47,0.821,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCCCCCCCCCCCC(=O)Nc1ccn([C@H](O)CC(C)C)c(=O)n1,CCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2C#N)c(=O)n1,mmp0101_RCCCCC_to_RCCCC,homologation,subtle,0.441,0 1 2 3 4 6,435.65,6.2,0.269,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,mmp0000_RC_to_RCC,homologation,subtle,0.806,2,338.43,4.2,0.792,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1sc[n+](Cc2cnc(C)nc2N)c1C,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1,mmp0000_RC_to_RCC,homologation,subtle,0.612,,249.36,1.64,0.841,17,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COP(=O)(O)OCCc1sc[n+](Cc2cnc(C)nc2N)c1C,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1,mmp0009_RO_to_ROC,homologation,subtle,0.814,2,359.37,1.38,0.567,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC[N+]1(C)[C@@H]2C[C@@H](OC(C)=O)C[C@H]1[C@@H]1O[C@@H]12,CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],mmp0129_RCeqOCC_to_RCCeqO,homologation,subtle,0.536,,254.35,1.48,0.433,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCn1cc(-c2cc(Oc3ccc(-c4cnc(NC(C)C)n(C)c4=O)nc3C)ccn2)cn1,Cc1nc(-c2cnc(NC(C)C)n(C)c2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1,mmp0000_RC_to_RCC,homologation,subtle,0.793,2,445.53,4.04,0.458,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCNc1ncc(-c2ccc(Oc3ccnc(-c4cnn(C)c4)c3)c(C)n2)c(=O)n1C,Cc1nc(-c2cnc(NC(C)C)n(C)c2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1,mmp0124_RCCC_to_RCC,homologation,subtle,0.769,,417.47,3.17,0.514,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCc1nc(-c2cnc(NC(C)C)n(C)c2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1,Cc1nc(-c2cnc(NC(C)C)n(C)c2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1,mmp0010_RC_to_RCCCC,homologation,moderate,0.735,2 3 4,473.58,4.59,0.379,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC[C@H](NCC)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,mmp0000_RC_to_RCC,homologation,subtle,0.52,1 2,351.54,2.97,0.606,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC[C@H](N[CH]CCc1cc(F)cc(F)c1CC)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,mmp0000_RC_to_RCC,homologation,subtle,0.5,0 1 2 3 4 5 6 7 8 9 10 11 12,504.69,5.59,0.294,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCc1cnc2ccccn12,O=P(O)(O)C(O)(Cc1cnc2ccccn12)P(=O)(O)O,mmp0010_RC_to_RCCCC,homologation,moderate,0.435,2 3 4,188.27,3.07,0.674,14,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(=O)CCC3CCCC3)CC[C@@H]12,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,mmp0028_RC_to_RCCC,homologation,moderate,0.66,2 3,440.67,7.18,0.411,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CO[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,mmp0009_RO_to_ROC,homologation,subtle,0.602,,302.46,4.53,0.711,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C]1C(=CC(C)=O)CC[C@@H]2[C@@H]1CC[C@]1(C)[C@@H](OC(=O)CCC3CCCC3)CC[C@@H]21,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,mmp0129_RCeqOCC_to_RCCeqO,homologation,subtle,0.476,0 1 2 3,399.6,6.21,0.407,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC(=CC(=O)CC)CC[C@@H]1[CH]CC[C@]2(C)[C@@H](OC(=O)CCC3CCCC3)CC[C@@H]12,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,mmp0028_RC_to_RCCC,homologation,moderate,0.4,0 1 2 3 4 5 7 9 10 13,429.67,7.38,0.254,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1nc(NCCCC2CCN(C)CC2)ncc1-c1nc2c(C)cc(C)cc2[nH]1,Cc1cc(C)c2nc(-c3cnc(NCCCC4CCN(C)CC4)nc3C)[nH]c2c1,mmp0000_RC_to_RCC,homologation,subtle,0.756,2,406.58,4.73,0.555,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN1CCC(CCCNc2ncc(-c3nc4c(C)cc(C)cc4[nH]3)c(C)n2)CC1,Cc1cc(C)c2nc(-c3cnc(NCCCC4CCN(C)CC4)nc3C)[nH]c2c1,mmp0000_RC_to_RCC,homologation,subtle,0.814,2,406.58,4.87,0.548,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC[C@H]1COc2ccc3c(c2O1)CC(=O)N3,O=C1Cc2c(ccc3c2O[C@@H](CNCc2ccccc2)CO3)N1,mmp0000_RC_to_RCC,homologation,subtle,0.568,2,219.24,1.73,0.782,16,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC[C@H]1[C@H]([C@@H]2C[C@H]3O[C@@H](c4ccco4)O[C@@]3(C(=O)C[18F])[C]2C)CCC2=CC(=O)CC[C@@H]21,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1C[C@H]1O[C@@H](c3ccco3)O[C@]12C(=O)C[18F],mmp0028_RC_to_RCCC,homologation,moderate,0.44,0 1 2 3 4 5 6 7 9 10 11 14 15 19 23,456.56,5.71,0.526,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC[C@H]1C(=CC(C)=O)CC[C@@H]2[C@@H]1CC[C@@]1(C)[C@H]2C[C@H]2O[C@@H](c3ccco3)O[C@]21C(=O)C[18F],C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1C[C@H]1O[C@@H](c3ccco3)O[C@]12C(=O)C[18F],mmp0000_RC_to_RCC,homologation,subtle,0.596,1 2 8 12 15 16,443.55,5.36,0.573,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN1CCN2c3ncccc3Cc3ccccc3C2C1,CN1CCN2c3ncccc3Cc3ccccc3C2C1,mmp0000_RC_to_RCC,homologation,subtle,0.671,2,279.39,2.87,0.8,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(C)NC(CC)C(O)c1ccc(O)c2[nH]c(=O)ccc12,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12,mmp0000_RC_to_RCC,homologation,subtle,0.803,2,304.39,2.43,0.66,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccccc1C(=O)OC1OC(=O)c2ccccc21,CC(=O)Oc1ccccc1C(=O)OC1OC(=O)c2ccccc21,mmp0059_Rc1ccccc1_to_Rc1ccccc1C,homologation,subtle,0.621,7,268.27,3.02,0.786,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOC(=O)c1ccccc1OC(C)=O,CC(=O)Oc1ccccc1C(=O)OC1OC(=O)c2ccccc21,mmp0000_RC_to_RCC,homologation,subtle,0.424,1 2,208.21,1.79,0.561,15,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCN(CCN(C)C(=O)c1ccc(F)cc1)C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,O=C(c1ccc(F)cc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,mmp0010_RC_to_RCCCC,homologation,moderate,0.514,0 1 2 3 4 5 7 10 13 14 18 19 22 23 25 26 29 33,532.59,4.81,0.318,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCN(CCNC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(=O)c1ccc(F)cc1,O=C(c1ccc(F)cc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,mmp0028_RC_to_RCCC,homologation,moderate,0.509,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 19,518.56,4.46,0.324,38,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1ccc(F)c(C(=O)N2CCN(C(=O)c3ccc(F)cc3)CC2)c1,O=C(c1ccc(F)cc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.523,2,358.39,3.13,0.846,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCN(CCNC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(=O)c1ccc(F)cc1,O=C(c1ccc(F)cc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.518,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 18,504.54,4.07,0.359,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,mmp0096_RCC_to_RCCC,homologation,subtle,0.776,3,399.87,4.8,0.559,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CC)CCC(C(N)=O)(c1ccccc1)c1ccccn1,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,mmp0052_RNCC_to_RNCCCC,homologation,moderate,0.717,,311.43,2.58,0.815,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccccc1C(CCN(C(C)C)C(C)C)(C(N)=O)c1ccccn1,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,mmp0059_Rc1ccccc1_to_Rc1ccccc1C,homologation,subtle,0.588,7,353.51,3.67,0.788,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCCCCN=c1ccn(CCCC)cc1,CCCCCCCCN=c1ccn(CCCCCCCC)cc1,mmp0010_RC_to_RCCCC,homologation,moderate,0.844,,262.44,4.55,0.55,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCCCCN=c1ccn(CCC)cc1,CCCCCCCCN=c1ccn(CCCCCCCC)cc1,mmp0000_RC_to_RCC,homologation,subtle,0.783,,248.41,4.16,0.584,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(NC)nc12,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,mmp0013_RNCC_to_RNC,homologation,subtle,0.545,1 2,298.35,1.58,0.552,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CC)nc12,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,mmp0000_RC_to_RCC,homologation,subtle,0.817,,380.5,3.31,0.525,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC[C@@H](CCO)N(CC)c1cc(NCc2ccc[n+]([O-])c2)n2ncc(CC)c2n1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,mmp0000_RC_to_RCC,homologation,subtle,0.5,0 1 2 4 7 8 11 12 16 17,412.54,2.91,0.372,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1cccc(CO[C@H]2CCOC2)n1,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,mmp0000_RC_to_RCC,homologation,subtle,0.422,2,207.27,1.95,0.756,15,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCn1nnc2c(-c3ccc(C)o3)nc(N)nc21,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,mmp0000_RC_to_RCC,homologation,subtle,0.494,2,244.26,1.39,0.731,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOCC[CH]OCc1cccc(Cn2nnc3c(-c4ccc(C)o4)nc(N)nc32)n1,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,mmp0000_RC_to_RCC,homologation,subtle,0.61,0 1 2 3 4 5,422.47,2.92,0.384,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1cc(-c2cnn(-c3c(C(F)(F)F)c(C(F)(F)C(F)(F)F)nn3C)c2)ccc1Cl,Cn1nc(C(F)(F)C(F)(F)F)c(C(F)(F)F)c1-n1cc(-c2ccc(Cl)c(C(=O)NC3(C#N)CC3)c2)cn1,mmp0000_RC_to_RCC,homologation,subtle,0.577,2,472.77,6.16,0.426,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)NC(=O)c1cc(-c2cnn(-c3c(C(F)(F)F)c(C(F)(F)C(F)(F)F)nn3C)c2)ccc1Cl,Cn1nc(C(F)(F)C(F)(F)F)c(C(F)(F)F)c1-n1cc(-c2ccc(Cl)c(C(=O)NC3(C#N)CC3)c2)cn1,mmp0066_RCCCC_to_RCCC,homologation,subtle,0.716,1 2 3,529.82,5.74,0.429,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCNc1ccc(-c2nc3ccc(O)cc3s2)cc1,[11CH3]Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,mmp0010_RC_to_RCCCC,homologation,moderate,0.672,2 3 4,298.41,4.88,0.66,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCNc1ccc(-c2nc3ccc(O)cc3s2)cc1,[11CH3]Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,mmp0000_RC_to_RCC,homologation,subtle,0.719,2,270.36,4.1,0.753,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)c1ccc2cc(C(C)(C)C)ccc2c1S(=O)(=O)O,CC(C)(C)c1ccc2c(S(=O)(=O)O)c(C(C)(C)C)ccc2c1,mmp0066_RCCCC_to_RCCC,homologation,subtle,0.582,,306.43,4.51,0.831,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(C)(C)c1ccc2cc(C(C)(C)C)ccc2c1S(=O)(=O)O,CC(C)(C)c1ccc2c(S(=O)(=O)O)c(C(C)(C)C)ccc2c1,mmp0000_RC_to_RCC,homologation,subtle,0.698,2,334.48,5.07,0.797,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,CCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,mmp0000_RC_to_RCC,homologation,subtle,0.758,2,287.32,2.36,0.733,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,CCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,mmp0010_RC_to_RCCCC,homologation,moderate,0.712,2 3 4,315.38,3.14,0.65,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CCOC)C(=O)c1cnc2ccc(-c3ccc4oc(N)nc4c3)cn12,Nc1nc2cc(-c3ccc4ncc(C(=O)N5CCOCC5)n4c3)ccc2o1,mmp0000_RC_to_RCC,homologation,subtle,0.545,0 1 2 4 7 10 14,379.42,2.83,0.553,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCn1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,CC(C)n1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,mmp0124_RCCC_to_RCC,homologation,subtle,0.671,,374.47,2.39,0.859,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCc1ccc2c(c1NC(=O)NS(=O)(=O)c1ccn(C(C)C)n1)CCC2,CC(C)n1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,mmp0000_RC_to_RCC,homologation,subtle,0.619,0 1 2 3,404.54,3.81,0.734,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCN1CCc2cc(OC)c(OC)cc2CC1=O,COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,mmp0000_RC_to_RCC,homologation,subtle,0.527,,263.34,2.04,0.834,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCN(C)CCCN1CCc2cc(OC)c(OC)cc2CC1=O,COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,mmp0028_RC_to_RCCC,homologation,moderate,0.667,2 3,348.49,2.75,0.688,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCN1CCc2cc(OC)c(OC)cc2CC1=O,COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,mmp0096_RCC_to_RCCC,homologation,subtle,0.575,3,277.36,2.43,0.829,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCC(C)(C)c1ccc(Cn2cc(C(=O)C(=O)O)c3cc(-c4cccc(C)c4)ccc32)cc1,Cc1cccc(-c2ccc3c(c2)c(C(=O)C(=O)O)cn3Cc2ccc(C(C)(C)C)cc2)c1,mmp0010_RC_to_RCCCC,homologation,moderate,0.759,2 3 4,467.61,7.4,0.206,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(C)(C)c1ccc(Cn2cc(C(=O)C(=O)O)c3cc(-c4cccc(C)c4)ccc32)cc1,Cc1cccc(-c2ccc3c(c2)c(C(=O)C(=O)O)cn3Cc2ccc(C(C)(C)C)cc2)c1,mmp0000_RC_to_RCC,homologation,subtle,0.818,2,439.56,6.62,0.26,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,mmp0096_RCC_to_RCCC,homologation,subtle,0.535,2 3,346.43,3.98,0.77,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,mmp0101_RCCCCC_to_RCCCC,homologation,subtle,0.687,1 2 3 4,474.6,3.32,0.544,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCn1nnn(CCN2CCC(c3ccccc3)(N(C(=O)CC)c3ccccc3F)CC2)c1=O,CCC(=O)N(c1ccccc1F)C1(c2ccccc2)CCN(CCn2nnn(CC)c2=O)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.866,2,480.59,3.42,0.469,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN1[C@@H](c2nccs2)[C@@H](COC)C[C@@]1(Cn1cccn1)C(=O)O,COC[C@H]1C[C@@](Cn2cccn2)(C(=O)O)N(C(=O)c2ccc(C(C)(C)C)c(OC)c2)[C@H]1c1nccs1,mmp0000_RC_to_RCC,homologation,subtle,0.545,2,350.44,1.89,0.821,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC[C@H]1C[C@@](Cn2cccn2)(C(=O)O)N(C(=O)c2ccc(C(C)C)c(OC)c2)[C@H]1c1nccs1,COC[C@H]1C[C@@](Cn2cccn2)(C(=O)O)N(C(=O)c2ccc(C(C)(C)C)c(OC)c2)[C@H]1c1nccs1,mmp0066_RCCCC_to_RCCC,homologation,subtle,0.755,,498.61,3.85,0.478,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)C(C)c1ccc([C@H]2CCCC[C@@H]2C)cc1,CC(C(=O)O)c1ccc([C@H]2CCCC[C@@H]2C)cc1,mmp0009_RO_to_ROC,homologation,subtle,0.692,2,260.38,4.26,0.759,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCc1cc2[nH]c([S+]([O-])Cc3ncccc3C)nc2cc1C(=O)OC,COC(=O)c1cc2nc([S+]([O-])Cc3ncccc3C)[nH]c2cc1C,mmp0028_RC_to_RCCC,homologation,moderate,0.702,2 3,371.46,3.31,0.53,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCc1cc2[nH]c([S+]([O-])Cc3ncccc3C)nc2cc1C(=O)OC,COC(=O)c1cc2nc([S+]([O-])Cc3ncccc3C)[nH]c2cc1C,mmp0010_RC_to_RCCCC,homologation,moderate,0.678,2 3 4,385.49,3.7,0.495,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cc2[nH]c([S+]([O-])Cc3ncccc3C)nc2cc1C(C)C,COC(=O)c1cc2nc([S+]([O-])Cc3ncccc3C)[nH]c2cc1C,mmp0037_RC_to_RCCC,homologation,moderate,0.605,2 3,327.45,4.01,0.736,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCN1CCC(C(=O)c2ccc(F)cc2)CC1,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.468,2,249.33,3.13,0.764,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCN(CCC(C)C(=O)c1ccc(F)cc1)CCn1c(=S)[nH]c2ccccc2c1=O,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,mmp0010_RC_to_RCCCC,homologation,moderate,0.439,0 1 2 3 4 5 7 9 11 12 15 16 21 22 25 26 29 31,455.6,5.21,0.319,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,mmp0000_RC_to_RCC,homologation,subtle,0.732,2,294.34,1.26,0.804,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCOc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,mmp0028_RC_to_RCCC,homologation,moderate,0.683,2 3,308.36,1.65,0.786,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC[C@H](c1c(O)cc(O)c2c(=O)cc(-c3ccccc3Cl)oc12)[C@H](O)CN(C)C,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,mmp0000_RC_to_RCC,homologation,subtle,0.412,0 1 2 4 7 8 13 17 18,417.89,3.94,0.562,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
